Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
82,82,5-Jul,,TEX,W10-9,46,41,10,14,3,0,2,10,5,0,7,0,0,0,0,1,2,0,0.231,0.299,0.386,0.684,8,10,R,S.Howard(34)
83,83,6-Jul,,TEX,W2-1,31,27,2,4,0,0,0,1,4,0,8,0,0,0,0,1,0,0,0.23,0.298,0.383,0.682,5,9,R,G.Otto(57)
84,84,7-Jul,,LAA,W4-1,37,32,4,8,2,0,1,4,4,0,5,0,0,1,1,0,2,0,0.23,0.299,0.384,0.682,9,11,R,C.Silseth(35)
85,85,8-Jul,,LAA,W5-4,38,36,5,10,2,0,0,5,2,0,13,0,0,0,0,0,1,0,0.231,0.299,0.383,0.682,7,12,L,R.Detmers(74)
86,86,9-Jul,,LAA,W1-0,31,28,1,5,0,0,0,1,3,0,12,0,0,0,0,1,0,0,0.23,0.298,0.381,0.679,6,11,L,P.Sandoval(67)
87,87,10-Jul,,LAA,W9-5,38,34,9,11,3,1,0,7,3,0,4,1,0,0,0,1,0,0,0.231,0.299,0.382,0.682,5,9,L,J.Suarez(38)
88,88,12-Jul,@,CHC,W4-2,40,34,4,8,0,0,2,4,5,1,5,1,0,0,1,2,3,0,0.231,0.3,0.382,0.683,9,10,R,A.Sampson(45)
89,89,13-Jul,@,CHC,W7-1,42,38,7,12,4,0,0,5,3,0,8,1,0,0,0,0,0,0,0.233,0.301,0.383,0.684,8,10,L,J.Steele(48)
90,90,15-Jul,@,TBR,L4-5,39,37,4,10,2,0,3,4,1,0,6,1,0,0,0,0,0,0,0.233,0.301,0.385,0.686,8,9,R,L.Patino(43)
91,91,16-Jul,@,TBR,W6-4,40,37,6,8,3,1,1,6,1,0,8,1,0,1,0,1,1,2,0.233,0.301,0.386,0.686,3,12,L,R.Yarbrough(54)
92,92,17-Jul,@,TBR,L5-7,39,36,5,10,3,0,2,5,2,0,7,1,0,0,0,1,0,0,0.233,0.301,0.387,0.688,7,9,R,C.Kluber(42)
93,93,22-Jul,,NYY,L6-7,40,35,6,9,3,0,1,6,5,0,9,0,0,0,0,1,0,0,0.234,0.302,0.388,0.689,7,10,R,J.Taillon(41)
94,94,23-Jul,,NYY,W6-3,36,31,6,10,3,0,1,6,4,0,8,0,0,1,0,1,2,1,0.234,0.302,0.389,0.691,6,10,R,G.Cole(44)
95,95,24-Jul,,NYY,L0-6,37,35,0,8,1,0,0,0,2,0,10,0,0,0,0,0,0,0,0.234,0.302,0.388,0.69,10,9,L,N.Cortes(67)
96,96,25-Jul,,TBR,W5-1,36,28,5,8,0,0,0,5,4,0,3,1,1,2,0,0,0,1,0.235,0.303,0.387,0.69,7,10,R,C.Kluber(36)
97,97,26-Jul,,TBR,W5-3,30,27,5,5,1,0,3,5,2,0,7,0,0,1,0,0,2,0,0.234,0.302,0.388,0.69,1,10,L,S.McClanahan(71)
98,98,27-Jul,,TBR,L4-6,43,38,4,9,0,0,1,2,2,0,10,3,0,0,0,0,0,0,0.234,0.302,0.387,0.69,10,11,R,D.Rasmussen(45)
99,99,28-Jul,,TBR,W3-0,31,30,3,6,2,0,1,3,0,0,11,1,0,0,0,0,1,0,0.234,0.302,0.387,0.689,4,11,L,R.Yarbrough(68)
100,100,29-Jul,@,CIN,W6-2,42,34,6,9,1,1,1,6,6,0,6,1,0,1,0,1,1,0,0.234,0.303,0.388,0.69,9,12,L,M.Minor(53)
101,101,30-Jul,@,CIN,L2-8,31,31,2,6,0,0,0,1,0,0,11,0,0,0,0,2,0,0,0.234,0.302,0.386,0.688,2,9,R,T.Mahle(61)
102,102,31-Jul,@,CIN,L2-3,37,32,2,6,0,0,1,2,4,0,10,0,0,1,0,0,0,0,0.234,0.301,0.385,0.686,8,14,L,N.Lodolo(65)
103,103,1-Aug,@,TEX,W7-2,44,40,7,12,4,0,1,7,3,0,7,1,0,0,0,0,1,0,0.234,0.302,0.386,0.688,10,9,R,J.Gray(34)
104,104,2-Aug,@,TEX,W8-2,40,34,8,9,3,0,2,8,4,0,8,1,0,1,0,0,2,1,0.235,0.303,0.387,0.69,5,11,R,S.Howard(27)
105,105,3-Aug,@,TEX,W6-3,42,35,6,9,3,0,2,5,7,0,13,0,0,0,0,0,1,0,0.235,0.304,0.389,0.692,9,11,L,M.Perez(64)
106,106,5-Aug,,PIT,W1-0,36,32,1,10,4,0,0,1,3,1,3,0,1,0,0,1,2,0,0.236,0.304,0.389,0.693,11,10,R,M.Keller(52)
107,107,6-Aug,,PIT,W6-3,42,33,6,11,5,0,0,6,6,0,9,1,1,1,0,0,1,0,0.236,0.306,0.39,0.695,12,10,R,J.Brubaker(38)
108,108,7-Aug,,PIT,L1-8,32,31,1,4,0,0,1,1,1,0,7,0,0,0,0,0,0,1,0.236,0.304,0.389,0.693,4,10,R,B.Wilson(60)
109,109,8-Aug,,TOR,W7-4,33,29,7,9,0,0,4,7,4,0,5,0,0,0,0,3,0,1,0.236,0.305,0.391,0.696,2,10,L,Y.Kikuchi(36)
110,110,9-Aug,,TOR,W6-5,38,34,6,12,3,0,1,5,2,0,8,1,0,1,1,1,0,0,0.237,0.306,0.392,0.698,8,9,R,A.Manoah(43)
111,111,11-Aug,@,BOS,L3-4,36,34,3,8,0,1,0,3,2,0,6,0,0,0,0,1,1,0,0.237,0.306,0.392,0.697,6,10,R,J.Winckowski(45)
112,112,12-Aug,@,TBR,W10-3,46,41,10,19,4,0,2,10,2,0,6,0,0,3,0,0,0,2,0.24,0.307,0.395,0.702,9,10,R,C.Kluber(24)
113,113,13-Aug,@,TBR,L2-8,40,36,2,9,2,0,0,2,3,0,8,1,0,0,0,0,1,0,0.24,0.307,0.394,0.702,11,10,L,S.McClanahan(51)
114,114,14-Aug,@,TBR,L1-4,29,29,1,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0.238,0.306,0.392,0.697,1,10,R,D.Rasmussen(84)
115,115,15-Aug,@,TOR,W7-3,40,32,7,8,2,0,1,7,6,0,8,0,0,2,1,1,0,0,0.238,0.306,0.392,0.698,6,12,L,Y.Kikuchi(34)
116,116,16-Aug,@,TOR,W4-2,40,35,4,7,0,0,2,4,5,0,8,0,0,0,1,0,1,0,0.238,0.306,0.392,0.698,9,10,R,A.Manoah(48)
117,117,17-Aug,@,TOR,L1-6,31,31,1,4,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0.237,0.305,0.39,0.694,3,10,R,R.Stripling(78)
118,118,18-Aug,,CHC,L2-3,37,32,2,6,1,1,0,2,4,0,8,0,0,1,1,0,0,0,0.237,0.304,0.389,0.693,8,10,R,A.Sampson(65)
119,119,19-Aug,,BOS,W15-10,45,40,15,18,6,0,5,15,3,0,6,1,0,1,0,0,0,0,0.239,0.306,0.395,0.701,6,9,R,K.Crawford(5)
120,120,20-Aug,,BOS,L3-4,35,34,3,8,0,1,0,2,1,0,8,0,0,0,0,1,0,0,0.239,0.306,0.394,0.7,5,11,R,M.Wacha(64)
121,121,21-Aug,,BOS,W5-3,39,32,5,8,2,0,0,5,5,0,13,2,0,0,0,0,0,0,0.239,0.307,0.393,0.7,10,11,R,N.Pivetta(57)
122,122,23-Aug,,CHW,W5-3,31,28,5,5,1,0,1,5,3,0,7,0,0,0,0,0,1,0,0.239,0.306,0.393,0.699,2,11,R,D.Cease(47)
123,123,24-Aug,,CHW,L3-5,34,31,3,6,2,0,1,3,3,0,6,0,0,0,0,1,0,0,0.238,0.306,0.392,0.698,4,9,R,L.Giolito(62)
124,124,25-Aug,,CHW,W4-3,39,37,4,7,0,0,2,4,1,0,12,1,0,0,1,0,0,1,0.238,0.305,0.392,0.697,7,10,R,L.Lynn(67)
125,125,26-Aug,@,HOU,W2-0,37,33,2,7,1,0,1,2,4,0,7,0,0,0,0,1,1,0,0.238,0.305,0.391,0.697,8,10,R,L.McCullers(58)
126,126,27-Aug,@,HOU,W3-1,35,30,3,6,1,0,2,3,5,0,10,0,0,0,0,1,2,2,0.237,0.305,0.392,0.697,5,9,R,J.Urquidy(49)
127,127,28-Aug,@,HOU,L1-3,34,32,1,7,2,0,0,1,2,0,13,0,0,0,0,0,2,0,0.237,0.305,0.391,0.696,6,10,R,J.Verlander(58)
128,128,30-Aug,@,CLE,L1-5,32,27,1,1,0,0,0,1,4,0,6,0,0,1,1,1,1,0,0.236,0.304,0.389,0.693,4,9,R,C.Quantrill(67)
129,129,31-Aug,@,CLE,W4-0,37,34,4,8,0,0,2,4,3,0,12,0,0,0,0,0,0,0,0.236,0.304,0.389,0.693,6,10,R,T.McKenzie(54)
130,130,1-Sep,@,CLE,W3-0,35,34,3,7,0,0,3,3,1,0,13,0,0,0,0,0,2,0,0.236,0.303,0.39,0.693,5,10,R,S.Bieber(63)
131,131,2-Sep,,OAK,W5-2,36,31,5,9,4,0,0,5,4,1,7,0,1,0,0,1,0,0,0.236,0.304,0.39,0.694,7,12,L,J.Sears(56)
132,132,3-Sep,,OAK,W8-1,39,35,8,11,2,0,5,8,4,0,6,0,0,0,0,0,1,0,0.237,0.305,0.393,0.698,7,11,R,A.Oller(28)
133,133,4-Sep,,OAK,L0-5,34,31,0,6,2,0,0,0,3,0,6,0,0,0,0,2,1,0,0.236,0.304,0.392,0.696,7,11,R,A.Martinez(68)
134,134,Sep 5 (1),,TOR,L3-7,35,35,3,8,1,0,2,3,0,0,9,0,0,0,0,0,0,0,0.236,0.304,0.392,0.696,5,11,R,K.Gausman(58)
135,135,Sep 5 (2),,TOR,L4-8,39,36,4,10,1,0,2,4,2,0,3,0,0,0,0,1,0,0,0.237,0.304,0.393,0.697,8,9,R,J.Berrios(46)
136,136,6-Sep,,TOR,W9-6,41,34,9,9,2,1,0,9,6,0,7,1,0,0,1,0,1,0,0.237,0.305,0.393,0.697,8,10,R,M.White(30)
137,137,7-Sep,,TOR,L1-4,31,30,1,3,2,0,0,1,1,0,7,0,0,0,0,0,0,0,0.236,0.303,0.391,0.695,3,9,R,A.Manoah(76)
138,138,9-Sep,,BOS,W3-2,34,27,3,5,1,0,0,2,6,0,8,1,0,0,0,0,0,1,0.236,0.304,0.39,0.694,7,9,R,B.Bello(53)
139,139,10-Sep,,BOS,L4-17,36,35,4,8,1,0,1,4,0,0,7,0,0,1,1,0,0,0,0.236,0.303,0.39,0.693,5,12,R,M.Wacha(53)
140,140,11-Sep,,BOS,L0-1,36,30,0,3,0,0,0,0,4,0,14,2,0,0,0,0,1,0,0.235,0.303,0.388,0.691,9,13,L,R.Hill(67)
141,141,13-Sep,@,WSN,W4-3,42,36,4,11,4,0,1,3,4,0,9,2,0,0,0,1,1,1,0.235,0.304,0.389,0.693,11,10,R,C.Abbott(41)
142,142,14-Sep,@,WSN,W6-2,40,37,6,11,2,1,1,5,2,0,6,1,0,0,0,0,0,0,0.236,0.304,0.39,0.694,7,11,L,P.Corbin(64)
143,143,16-Sep,@,TOR,L3-6,33,31,3,5,0,1,2,3,2,0,11,0,0,0,0,1,0,0,0.235,0.303,0.39,0.693,3,9,R,T.Richards(56)
144,144,17-Sep,@,TOR,L3-6,39,34,3,9,3,0,0,3,3,0,6,1,0,0,0,1,0,1,0.235,0.304,0.39,0.693,9,10,R,J.Berrios(51)
145,145,18-Sep,@,TOR,W5-4,41,34,5,9,2,0,1,5,7,1,6,0,0,0,0,1,0,0,0.236,0.304,0.39,0.694,9,12,R,A.Manoah(61)
146,146,19-Sep,,DET,L0-11,32,28,0,2,0,0,0,0,4,0,6,0,0,0,0,1,0,0,0.235,0.304,0.388,0.692,5,11,L,T.Alexander(75)
147,147,20-Sep,,DET,L2-3,38,33,2,6,0,0,1,2,5,0,8,0,0,0,1,1,0,0,0.234,0.304,0.387,0.691,9,11,L,J.Wentz(67)
148,148,21-Sep,,DET,W8-1,39,33,8,9,0,0,1,8,5,0,8,0,0,1,0,0,1,0,0.235,0.304,0.387,0.691,7,10,R,M.Manning(43)
149,149,22-Sep,,HOU,W2-0,29,29,2,7,1,0,0,2,0,0,5,0,0,0,0,1,0,0,0.235,0.304,0.386,0.69,3,11,R,J.Verlander(56)
150,150,23-Sep,,HOU,W6-0,35,32,6,9,1,0,1,6,2,0,8,0,1,0,0,0,3,1,0.235,0.304,0.387,0.69,5,11,R,J.Urquidy(63)
151,151,24-Sep,,HOU,L10-11,46,45,10,17,0,0,4,10,1,0,9,0,0,0,0,0,0,0,0.236,0.305,0.389,0.693,9,15,L,F.Valdez(29)
152,152,25-Sep,,HOU,L3-6,39,38,3,8,1,0,0,3,1,0,15,0,0,0,0,3,0,0,0.236,0.304,0.388,0.692,5,11,R,C.Javier(78)
153,153,26-Sep,@,BOS,W14-8,48,40,14,14,2,2,5,13,8,0,7,0,0,0,0,1,0,0,0.237,0.305,0.392,0.697,7,10,R,C.Seabold(28)
154,154,27-Sep,@,BOS,L9-13,44,41,9,15,2,3,4,9,2,0,8,1,0,0,0,1,2,0,0.238,0.306,0.395,0.701,8,11,R,M.Wacha(23)
155,155,28-Sep,@,BOS,L1-3,34,32,1,7,1,0,1,1,2,0,12,0,0,0,0,1,0,0,0.238,0.306,0.395,0.701,6,12,L,R.Hill(70)
156,156,29-Sep,@,BOS,L3-5,38,37,3,9,2,0,1,2,1,0,8,0,0,0,2,0,0,0,0.238,0.306,0.395,0.7,8,10,R,N.Eovaldi(51)
157,157,30-Sep,@,NYY,W2-1,38,31,2,5,1,0,0,1,7,0,11,0,0,0,0,0,2,0,0.237,0.306,0.394,0.699,9,11,R,D.German(57)
158,158,1-Oct,@,NYY,L0-8,32,29,0,3,1,0,0,0,2,0,14,1,0,0,0,1,0,0,0.237,0.305,0.392,0.697,5,9,L,N.Cortes(86)
159,159,2-Oct,@,NYY,W3-1,42,32,3,7,5,0,0,3,8,0,6,1,0,1,0,1,0,0,0.237,0.306,0.392,0.698,12,10,R,C.Gonzalez(52)
160,160,3-Oct,,TOR,L1-5,27,23,1,3,0,0,0,1,3,0,5,0,0,1,0,0,1,0,0.236,0.305,0.391,0.696,5,9,R,J.Berrios(64)
161,161,Oct 5 (1),,TOR,W5-4,35,33,5,10,2,0,1,5,2,0,6,0,0,0,0,0,0,1,0.237,0.305,0.391,0.697,6,9,R,T.Richards(51)
162,162,Oct 5 (2),,TOR,L1-5,35,30,1,4,2,0,0,1,4,0,8,1,0,0,0,1,0,0,0.236,0.305,0.39,0.695,7,11,R,D.Phelps(51